Date,Open,High,Low,Close,Volume,Ticker,Year,Month,YearMonth,Daily_Return,MA_30
2024-10-29,424.01710482121905,429.1390069836367,421.8375655534697,427.9303588867187,17644100,MSFT,2024,10,2024-10,0.012564827797310052,419.5480987548828
2024-10-30,433.3692558016521,434.41938919264413,428.07895261488494,428.50494384765625,29749100,MSFT,2024,10,2024-10,0.0013427067021660744,419.6048970540365
2024-10-31,411.4947379049696,412.2873114234298,402.5190506643278,402.568603515625,53971000,MSFT,2024,10,2024-10,-0.06052751713700699,418.53692830403645
2024-11-01,405.2038787819493,411.63347501049304,403.7079207383295,406.55120849609375,24230400,MSFT,2024,11,2024-11,0.00989298456384513,417.71465352376305
2024-11-04,405.9864927352766,406.600748568275,401.795875395107,404.6589660644531,19672300,MSFT,2024,11,2024-11,-0.004654376600282117,416.8874237060547
2024-11-05,404.56977062634746,411.03900230330345,404.2824608535884,407.6310119628906,17626000,MSFT,2024,11,2024-11,0.007344569495994158,416.3025817871094
2024-11-06,408.5821007827268,416.5373737173725,406.6997576825849,416.2698669433594,26681800,MSFT,2024,11,2024-11,0.021192830591739265,415.9086151123047
2024-11-07,417.3596638124742,422.8778379270892,415.9726979378319,421.4710388183594,19901800,MSFT,2024,11,2024-11,0.012494711455315777,415.7144388834635
2024-11-08,421.3620693729889,422.5310812867246,417.8550033981939,418.6079406738281,16891400,MSFT,2024,11,2024-11,-0.006793107665376663,415.5334737141927
2024-11-11,418.5881277400739,420.8568260602772,412.1288120506796,414.1201171875,24503300,MSFT,2024,11,2024-11,-0.010720827414559153,415.12762044270835
2024-11-12,414.3578665238478,420.4902662976637,413.317649663667,419.0933837890625,19401200,MSFT,2024,11,2024-11,0.012009236922220667,415.20489501953125
2024-11-13,417.7163255743709,425.3347363138495,414.31822142109314,421.2431945800781,21502200,MSFT,2024,11,2024-11,0.005129670078727999,415.4713928222656
2024-11-14,421.04505383486753,424.1855678921326,416.0915826132808,422.91748046875,30246900,MSFT,2024,11,2024-11,0.0039746301191665445,415.8131825764974
2024-11-15,415.91324532993855,418.86549468955633,409.79076244428035,411.1380920410156,28247600,MSFT,2024,11,2024-11,-0.027852687514071106,415.77817891438804
2024-11-18,411.0093198489206,414.50646935219214,408.2651076525754,411.89105224609375,24727000,MSFT,2024,11,2024-11,0.001831404629379474,415.98358357747395
2024-11-19,409.26565838479394,414.0507282073073,407.72017788193654,413.9021301269531,18133500,MSFT,2024,11,2024-11,0.004882548115315188,416.0852945963542
2024-11-20,412.9906674094557,413.4067722571845,406.75919271133495,411.6235046386719,19191700,MSFT,2024,11,2024-11,-0.005505227739664775,416.0202382405599
2024-11-21,416.4281041493026,416.7060525660529,407.28555520801666,409.8466491699219,20780200,MSFT,2024,11,2024-11,-0.004316700695480846,415.94944966634114
2024-11-22,408.3576032912863,414.3434454251094,408.04987579157546,413.9463806152344,24814600,MSFT,2024,11,2024-11,0.010003086407113004,415.9994689941406
2024-11-25,415.3162958278843,417.99650611752486,411.812146489521,415.7232971191406,27691100,MSFT,2024,11,2024-11,0.004292624811129686,416.0155924479167
2024-11-26,416.5174436728799,425.8982558025869,415.78287220202776,424.8559265136719,23458900,MSFT,2024,11,2024-11,0.02196804811714448,416.34934794108074
2024-11-27,421.9969878965425,424.10148899734514,418.929618998767,419.89251708984375,18332400,MSFT,2024,11,2024-11,-0.011682570758886235,416.6041768391927
2024-11-29,417.0137525773511,421.76868474809675,414.7405133546205,420.3590698242187,16271900,MSFT,2024,11,2024-11,0.0011111241934209648,416.8547424316406
2024-12-02,418.48293944626425,429.829232706476,418.22483367708463,427.8240356445313,20207200,MSFT,2024,12,2024-12,0.01775854586278869,417.30658671061195
2024-12-03,426.6923626928358,429.30310856781665,424.6077345204632,428.04241943359375,18302000,MSFT,2024,12,2024-12,0.0005104523609418266,417.7452372233073
